title,person,character
Reservoir Dogs,Harvey Keitel,Mr. White / Larry Dimmick
Reservoir Dogs,Tim Roth,Mr. Orange / Freddy Newandyke
Reservoir Dogs,Michael Madsen,Mr. Blonde / Vic Vega
Reservoir Dogs,Chris Penn,"""Nice Guy"" Eddie Cabot"
Reservoir Dogs,Steve Buscemi,Mr. Pink
Reservoir Dogs,Lawrence Tierney,Joe Cabot
Reservoir Dogs,Randy Brooks,Detective Holdaway
Reservoir Dogs,Kirk Baltz,Officer Marvin Nash
Reservoir Dogs,Edward Bunker,Mr. Blue
Reservoir Dogs,Quentin Tarantino,Mr. Brown
Reservoir Dogs,Rich Turner,Sheriff #1
Reservoir Dogs,David Steen,Sheriff #2
Reservoir Dogs,Tony Cosmo,Sheriff #3
Reservoir Dogs,Stevo Polyi,Sheriff #4
Reservoir Dogs,Michael Sottile,Teddy
Reservoir Dogs,Robert Ruth,Shot Cop
Reservoir Dogs,Lawrence Bender,Young Cop
Reservoir Dogs,Linda Kaye,Shocked Woman
Reservoir Dogs,Suzanne Celeste,Shot Woman
Reservoir Dogs,Steven Wright,K-Billy DJ (voice)
Reservoir Dogs,Laurie Lathem,Background Radio Play (voice)
Reservoir Dogs,Maria Strova,Background Radio Play (voice)
Reservoir Dogs,Burr Steers,Background Radio Play (voice)
Reservoir Dogs,Craig Hamann,Background Radio Play (voice)
Reservoir Dogs,Rowland Wafford,Diner Patron (uncredited)
Pulp Fiction,John Travolta,Vincent Vega
Pulp Fiction,Samuel L. Jackson,Jules Winnfield
Pulp Fiction,Uma Thurman,Mia Wallace
Pulp Fiction,Bruce Willis,Butch Coolidge
Pulp Fiction,Ving Rhames,Marsellus Wallace
Pulp Fiction,Harvey Keitel,"Winston ""The Wolf"" Wolfe"
Pulp Fiction,Eric Stoltz,Lance
Pulp Fiction,Tim Roth,"Ringo (""Pumpkin"")"
Pulp Fiction,Amanda Plummer,"Yolanda (""Honey Bunny"")"
Pulp Fiction,Maria de Medeiros,Fabienne
Pulp Fiction,Quentin Tarantino,Jimmie Dimmick
Pulp Fiction,Christopher Walken,Captain Koons
Pulp Fiction,Rosanna Arquette,Jody
