title,person,job
Reservoir Dogs,Quentin Tarantino,Director
Reservoir Dogs,Quentin Tarantino,Writer
Reservoir Dogs,Lawrence Bender,Producer
Reservoir Dogs,Paul Hellerman,Production Manager
Reservoir Dogs,Sally Menke,Editor
Reservoir Dogs,Harvey Keitel,Co-Producer
Reservoir Dogs,Ross Katz,Grip
Reservoir Dogs,David Wasco,Production Design
Reservoir Dogs,Roger Avary,Writer
Reservoir Dogs,Roger Avary,Creator
Reservoir Dogs,Ronnie Yeskel,Casting
Reservoir Dogs,Andrzej Sekula,Director of Photography
Reservoir Dogs,Karyn Rachtman,Music Supervisor
Reservoir Dogs,Sandy Reynolds-Wasco,Set Decoration
Reservoir Dogs,Betsy Heimann,Costume Design
Reservoir Dogs,Debra Grieco,Assistant Accountant
Reservoir Dogs,Richard N. Gladstein,Executive Producer
Reservoir Dogs,Ron Bartlett,Sound Re-Recording Mixer
Reservoir Dogs,Monte Hellman,Executive Producer
Reservoir Dogs,Ken Lesco,Stunt Coordinator
Reservoir Dogs,Mary Claire Hannan,Costume Supervisor
Reservoir Dogs,Martin Kitrosser,Script Supervisor
Reservoir Dogs,Ronna B. Wallace,Executive Producer
Reservoir Dogs,Mark Emery Moore,Steadicam Operator
Reservoir Dogs,Michelle Bühler,Makeup Artist
Reservoir Dogs,Ziad Doueiri,First Assistant Camera
Reservoir Dogs,Stephen Hunter Flick,Supervising Sound Editor
Reservoir Dogs,Kelley Dixon,First Assistant Editor
Reservoir Dogs,Stephen DeLollis,Special Effects
Reservoir Dogs,Rick Yale,Special Effects
Reservoir Dogs,Larry Fioritto,Special Effects Coordinator
Reservoir Dogs,Steve F.B. Smith,Dolby Consultant
Reservoir Dogs,Peggy Kennedy,Casting Associate
Reservoir Dogs,James Lowder,Transportation Coordinator
Reservoir Dogs,Brett C. Smith,Leadman
Reservoir Dogs,Curt Schulkey,Sound Editor
Reservoir Dogs,Geoffrey G. Rubay,Supervising Sound Editor
Reservoir Dogs,Jonathan Bobbitt,Swing
Reservoir Dogs,Jonathan R. Hodges,Property Master
Reservoir Dogs,David E. Stone,Sound Editor
Reservoir Dogs,Marian Green,Stunts
Reservoir Dogs,Jamie Beardsley,First Assistant Director
Reservoir Dogs,Jeannie H. Kelly,Craft Service
Reservoir Dogs,Jacqueline Aronson,Set Costumer
Reservoir Dogs,Bruce Comtois,Security
Reservoir Dogs,Jennifer Pyken,Post Production Assistant
Reservoir Dogs,Charles Ewing Smith,Sound Editor
Reservoir Dogs,Ken Segal,Production Sound Mixer
Reservoir Dogs,Mary Louise Rodgers,Foley Artist
Reservoir Dogs,Kelly Kiernan,Second Assistant Director
Reservoir Dogs,Enid L. Kantor,Production Coordinator
Reservoir Dogs,Marino Pascal,Location Scout
Reservoir Dogs,Ric Urbauer,Key Grip
Reservoir Dogs,Iain Jones,Hair Designer
Reservoir Dogs,Rachel Tanner,Hairstylist
Reservoir Dogs,Suzanne Celeste,Dialect Coach
Reservoir Dogs,David Coffee,Driver
Reservoir Dogs,Wayne Alexander,Legal Services
Reservoir Dogs,Warren Betts,Public Relations
Reservoir Dogs,Melanie Molyneux,Set Medic
Reservoir Dogs,Ben C. Giller,Transportation Captain
Reservoir Dogs,Marina Bailey,Unit Publicist
Reservoir Dogs,Chuck Winston,Color Timer
Reservoir Dogs,Jay Dahlquist,Best Boy Electric
Reservoir Dogs,Joey D. Brown,Electrician
Reservoir Dogs,Greg R. McCullough,Gaffer
Reservoir Dogs,Billy A. Fox,Location Manager
Reservoir Dogs,R. Blaine Currier,Production Accountant
Reservoir Dogs,Dwayne S. Henkel,Boom Operator
Reservoir Dogs,John Hulsman,Assistant Sound Editor
Reservoir Dogs,Cecilia Perna,Foley Mixer
Reservoir Dogs,John Lieberman,Thanks
Reservoir Dogs,Dink Adams,Best Boy Grip
Reservoir Dogs,Andy Spilkoman,Second Second Assistant Director
Reservoir Dogs,Nancy Lynn Hurlbut,Assistant Music Supervisor
Reservoir Dogs,Dennis K. Wilson,Dolly Grip
Reservoir Dogs,Randall Guth,Second Assistant Camera
Reservoir Dogs,Mark Lass,Negative Cutter
Reservoir Dogs,Judith E. Goldman,Assistant Location Manager
Reservoir Dogs,Mary Santiago,Extras Casting
