title,genre
Reservoir Dogs,Crime
Reservoir Dogs,Thriller
Pulp Fiction,Thriller
Pulp Fiction,Crime
Four Rooms,Crime
Four Rooms,Comedy
Jackie Brown,Crime
Jackie Brown,Thriller
Jackie Brown,Drama
Kill Bill: Vol. 1,Action
Kill Bill: Vol. 1,Crime
Kill Bill: Vol. 2,Action
Kill Bill: Vol. 2,Crime
Kill Bill: Vol. 2,Thriller
Death Proof,Action
Death Proof,Thriller
Inglourious Basterds,Drama
Inglourious Basterds,Thriller
Inglourious Basterds,War
Django Unchained,Drama
Django Unchained,Western
The Hateful Eight,Drama
The Hateful Eight,Mystery
The Hateful Eight,Western
Once Upon a Time… in Hollywood,Comedy
Once Upon a Time… in Hollywood,Drama
Once Upon a Time… in Hollywood,Thriller
