person,gender,popularity
Harvey Keitel,M,23.147
Tim Roth,M,20.822
Michael Madsen,M,16.493
Chris Penn,M,19.209
Steve Buscemi,M,23.741
Lawrence Tierney,M,5.838
Randy Brooks,M,4.637
Kirk Baltz,M,2.565
Edward Bunker,M,5.425
Quentin Tarantino,M,27.877
Rich Turner,NS,0.6
David Steen,M,1.62
Tony Cosmo,NS,0.6
Stevo Polyi,NS,0.728
Michael Sottile,M,2.967
Robert Ruth,M,1.96
Lawrence Bender,M,1.646
Linda Kaye,F,1.38
Suzanne Celeste,NS,0.6
Steven Wright,M,3.065
Laurie Lathem,F,1.534
Maria Strova,NS,1.62
Burr Steers,M,1.22
Craig Hamann,M,1.936
Rowland Wafford,NS,0.6
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Lawrence Bender,M,1.646
Paul Hellerman,M,0.98
Sally Menke,F,2.391
Harvey Keitel,M,23.147
Ross Katz,M,1.266
David Wasco,M,1.4
Roger Avary,M,3.456
Roger Avary,M,3.456
Ronnie Yeskel,F,1.855
Andrzej Sekula,M,1.408
Karyn Rachtman,NS,0.6
Sandy Reynolds-Wasco,F,1.4
Betsy Heimann,F,1.38
Debra Grieco,F,0.6
Richard N. Gladstein,M,0.861
Ron Bartlett,M,1.454
Monte Hellman,M,2.556
Ken Lesco,M,0.7
Mary Claire Hannan,F,1.03
Martin Kitrosser,M,2.389
Ronna B. Wallace,F,0.84
Mark Emery Moore,M,0.995
Michelle Bühler,NS,0.6
Ziad Doueiri,M,1.421
Stephen Hunter Flick,M,0.6
Kelley Dixon,F,0.84
Stephen DeLollis,NS,0.6
Rick Yale,M,0.6
Larry Fioritto,NS,0.6
Steve F.B. Smith,NS,0.6
Peggy Kennedy,NS,0.6
James Lowder,M,0.6
Brett C. Smith,NS,0.625
Curt Schulkey,M,0.6
Geoffrey G. Rubay,M,0.6
Jonathan Bobbitt,NS,0.84
Jonathan R. Hodges,NS,0.6
David E. Stone,M,0.6
Marian Green,F,0.6
Jamie Beardsley,F,1.052
Jeannie H. Kelly,NS,0.6
Jacqueline Aronson,NS,0.6
Bruce Comtois,M,0.6
Jennifer Pyken,F,0.694
Charles Ewing Smith,NS,0.6
Ken Segal,M,0.6
Mary Louise Rodgers,NS,0.6
Kelly Kiernan,F,0.6
Enid L. Kantor,NS,0.6
Marino Pascal,NS,0.6
Ric Urbauer,NS,0.6
Iain Jones,NS,0.6
Rachel Tanner,NS,0.6
Suzanne Celeste,NS,0.6
David Coffee,NS,0.6
Wayne Alexander,NS,0.6
Warren Betts,NS,0.6
Melanie Molyneux,NS,0.6
Ben C. Giller,NS,0.622
Marina Bailey,NS,0.6
Chuck Winston,NS,0.6
Jay Dahlquist,NS,0.6
Joey D. Brown,NS,0.6
Greg R. McCullough,NS,0.6
Billy A. Fox,NS,0.6
R. Blaine Currier,NS,0.6
Dwayne S. Henkel,NS,0.6
John Hulsman,NS,0.6
Cecilia Perna,NS,0.6
John Lieberman,NS,0.6
Dink Adams,NS,0.6
Andy Spilkoman,NS,0.6
Nancy Lynn Hurlbut,NS,0.6
Dennis K. Wilson,NS,0.694
Randall Guth,NS,0.6
Mark Lass,NS,0.6
Judith E. Goldman,NS,0.6
Mary Santiago,F,0.6
Robert John Speer,NS,0.6
Pat Domenico,NS,0.6
Wendy Baker,NS,0.6
John Travolta,M,37.647
Samuel L. Jackson,M,53.233
Uma Thurman,F,31.486
Bruce Willis,M,34.137
Ving Rhames,M,21.636
Harvey Keitel,M,23.147
Eric Stoltz,M,21.967
Tim Roth,M,20.822
Amanda Plummer,F,23.213
Maria de Medeiros,F,8.038
Quentin Tarantino,M,27.877
Christopher Walken,M,32.782
Rosanna Arquette,F,25.37
Peter Greene,M,18.38
Duane Whitaker,M,2.84
Angela Jones,F,7.127
Phil LaMarr,M,7.423
Steve Buscemi,M,23.741
Bronagh Gallagher,F,7.15
Laura Lovelace,F,4.424
Frank Whaley,M,24.442
Burr Steers,M,1.22
Paul Calderon,M,6.326
Jerome Patrick Hoban,M,0.98
Michael Gilden,M,3.882
Gary Shorelle,NS,0.98
Susan Griffiths,F,4.668
Eric Clark,NS,1.614
Joseph Pilato,M,4.176
Brad Blumenthal,M,2.391
Lorelei Leslie,F,3.007
Emil Sitka,M,1.087
Brenda Hillhouse,F,1.661
Chandler Lindauer,NS,2.023
Sy Sher,NS,1.62
Robert Ruth,M,1.96
Rich Turner,NS,0.6
Don Blakely,M,1.997
Carl Allen,NS,0.6
Karen Maruyama,F,3.172
Kathy Griffin,F,4.21
Venessia Valentino,F,3.336
Linda Kaye,F,1.38
Stephen Hibbert,M,1.346
Alexis Arquette,F,4.884
Julia Sweeney,F,5.475
Lawrence Bender,M,1.646
Cie Allman,F,1.38
Rene Beard,M,0.6
Lori Pizzo,F,1.4
Glendon Rich,M,0.98
Devan Richardson,NS,0.6
Ani Sava,F,0.713
Richard Rossi,M,1.38
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Lawrence Bender,M,1.646
Heidi Vogel,F,0.6
Paul Hellerman,M,0.98
Jennifer Beals,F,28.327
Sally Menke,F,2.391
Danny DeVito,M,37.988
Bob Weinstein,M,2.843
Harvey Weinstein,M,6.239
David Wasco,M,1.4
Tatiana S. Riegel,F,1.619
Roger Avary,M,3.456
Bill Unger,M,0.6
Ronnie Yeskel,F,1.855
Michael Shamberg,M,4.653
Stacey Sher,F,2.524
Dean Beville,NS,0.6
Andrzej Sekula,M,1.408
Karyn Rachtman,NS,0.6
Ken King,NS,0.6
Ruth Lambert,F,1.96
Gary M. Zuckerbrod,M,0.98
Charles Collum,M,0.6
Sandy Reynolds-Wasco,F,1.4
Betsy Heimann,F,1.38
Scott Spiegel,M,2.941
Ezra Dweck,NS,0.6
Richard N. Gladstein,M,0.861
Andrew Dickler,M,1.38
Ken Lesco,M,0.7
Jeff Olan,M,0.6
Mary Claire Hannan,F,1.03
Ricardo Mestres,M,0.6
Martin Kitrosser,M,2.389
Daniel Bradford,M,0.741
Lou Arkoff,M,1.62
Agnès B.,F,1.4
Stephen Martines,M,2.356
Emily Wolfe,F,0.694
Emanuel Steward,NS,0.6
Michelle Bühler,NS,0.6
Ziad Doueiri,M,1.421
Mike Simpson,M,0.828
Barbara Harris,F,1.882
Stephen Hunter Flick,M,0.6
Peter Borck,M,0.828
Terry Jackson,M,2.06
Vance Trussell,NS,0.6
Cameron,NS,0.6
Cameron,NS,0.6
Thomas L. Bellissimo,M,1.4
Larry Fioritto,NS,0.6
Lee Stollman,M,1.072
Ray Maxwell,M,0.6
Patia Prouty,NS,0.6
Derek Raser,NS,1.627
Brian Markey,M,0.98
Bob Gorelick,M,0.98
Audrey Futterman-Stern,NS,0.6
Michael Levine,NS,0.6
John A. Johnston,NS,0.6
Catherine Rowe,NS,0.773
Deborah Wuliger,NS,0.6
Jonathan R. Hodges,NS,0.6
Linda Arnold,F,0.6
